"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"US_L4CODE"	"DESIGN"	"Omernik Level IV ecoregion code.  Level three codes plus aphabetic ending identifying level 4 subregion. \"None\" if no ecoregion defined for state or territory.  No missing or \"blank\" values allowed."	
"US_L4NAME"	"DESIGN"	"Omernik Level IV ecoregion name"	"Text name"
"US_L4NAME"	"DESIGN"	"Omernik Level IV ecoregion name.  \"None\" if no ecoregion defined for state or territory.   No missing or \"blank\" values allowed."	
"USFS"	"DESIGN"	"US Forest Service land or other, based on OWN_NARS."	"Forest_Service|Not_Forest_Service"
"VISIT_NO"	"VERIF"	"Number identifying which visit this is"	"|1|2"
"WGT_CAT"	"DESIGN"	"NRSA categories used to adjust weights for site. Hand-picked sites assigned value of \"NONE\".  No missing or \"blank\" values allowed."	
"WGT_DSGN"	"DESIGN"	"NRSA initial site weight assigned during site selection. >0 or 0 if site is not to be used for population estimation. DO NOT USE FOR POPULATION ESTIMATION!"	
"WGT_TP_CORE"	"DESIGN"	"NRSA adjusted weight for site for population estimates of target population based on sampled probability sites. Weight units are stream miles. Value is 0 if site is not to be used for estimates."	
"WGT_TP_EXTENT"	"DESIGN"	"NRSA adjusted weight for site for extent estimates of target population based on all probability sites evaluated. Weight units are stream miles. Value is 0 if site is not to be used for estimates."	
"XCOORD"	"DESIGN"	"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	"Numeric"
"XCOORD"	"DESIGN"	"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection.   No missing or \"blank\" values allowed. Projection:  clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5"	
"YCOORD"	"DESIGN"	"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	"Numeric"
"YCOORD"	"DESIGN"	"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection.  No missing or \"blank\" values allowed.  Projection: sph = \"GRS80\", clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5"	
"YEAR"	"VERIF"	"Year of sampling"	
"UID"		"Unique site visit ID"	
"PUBLICATION_DATE"		"Date of data file publication"	
"DSGN_CYCLE"		"NRSA survey design time period 2000-04| 2008-09 | 2013-14 | 2018-19 | etc.  No missing values allowed."	
"SITETYPE"		"Site type (Probability-based or hand-picked).  PROB for sites from probability survey.  Usually HAND for hand-picked sites.  In EMAP West and WSA, STARHAND is used to identify hand-picked sites that do not have all CORE indicators available."	
"UNIQUE_ID"		"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."	
