UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STATE,AG_ECO9,EPA_REG,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
2013062,4/28/2021,NRS18_AR_10034,7/29/2018,1,AR,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,104166,,ug/L,0.1,0.05,1.287,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013062,4/28/2021,NRS18_AR_10034,7/29/2018,1,AR,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,104166,,ug/L,0.15,0.1,1.045,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013062,4/28/2021,NRS18_AR_10034,7/29/2018,1,AR,SAP,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,104167,,ug/L,0.15,0.1,1.076,Std. Units,8/21/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013063,4/28/2021,NRS18_MA_10006,7/29/2018,1,MA,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX9,104406,,ug/L,0.15,0.1,1.02,Std. Units,8/24/2018,2/1/2019,ok,KH,,JulyX9,ND
2013063,4/28/2021,NRS18_MA_10006,7/29/2018,1,MA,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX9,104406,,ug/L,0.1,0.05,1.018,Std. Units,8/24/2018,2/1/2019,ok,KH,,JulyX9,ND
2013063,4/28/2021,NRS18_MA_10006,7/29/2018,1,MA,NAP,Region_01,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,104407,,ug/L,0.15,0.1,1.067,Std. Units,8/21/2018,2/6/2019,ok,KH,,JulyZ6,ND
2013071,4/28/2021,NRS18_WI_10007,7/30/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,886666,,ug/L,0.1,0.05,1.281,Std. Units,7/31/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2013071,4/28/2021,NRS18_WI_10007,7/30/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,886666,0.111,ug/L,0.15,0.1,1.437,Std. Units,7/31/2018,10/30/2018,ok,D. Perkins,,18J7970,L
2013071,4/28/2021,NRS18_WI_10007,7/30/2018,1,WI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ5,886667,,ug/L,0.15,0.1,1.172,Std. Units,8/21/2018,2/6/2019,ok,KH,,JulyZ5,ND
2013072,4/28/2021,NRS18_RI_10008,7/30/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX7,104446,,ug/L,0.15,0.1,1.065,Std. Units,8/24/2018,1/31/2019,ok,KH,,JulyX7,ND
2013072,4/28/2021,NRS18_RI_10008,7/30/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX7,104446,0.054,ug/L,0.1,0.05,0.845,Std. Units,8/24/2018,1/31/2019,ok,KH,,JulyX7,L
2013072,4/28/2021,NRS18_RI_10008,7/30/2018,1,RI,NAP,Region_01,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,104447,,ug/L,0.15,0.1,1.045,Std. Units,8/21/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013073,4/28/2021,NRS18_IN_10013,7/30/2018,1,IN,TPL,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,103666,,ug/L,0.1,0.05,1.306,Std. Units,8/24/2018,1/29/2019,ok,KH,,JulyX3,ND
